LeftParen (
RightParen )
LeftBracket [
RightBracket ]
LeftBrace {
RightBrace }
Dot .
Comma ,
Colon :
Semicolon ;
Plus +
Minus -
Star *
Slash /
Percent %
Caret ^
Ampersand &
Pipe |
Tilde ~
Bang !
Equal =
Less <
Greater >
PlusEqual +=
MinusEqual -=
StarEqual *=
SlashEqual /=
PercentEqual %=
CaretEqual ^=
AmpersandEqual &=
PipeEqual |=
LessLess <<
GreaterGreater >>
LessLessEqual <<=
GreaterGreaterEqual >>=
EqualEqual ==
BangEqual !=
LessEqual <=
GreaterEqual >=
AmpersandAmpersand &&
PipePipe ||
Question ?
QuestionQuestion ??
PlusPlus ++
MinusMinus --
Hash #
